sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,utcoff,stationid,New Station
Rottnest_WA_Aus,NA,NA,-32.023889,115.454361,N,233,946,0,-32.023889,115.454361,NA,NA,1591,TRUE
IITM_ARTCI_Bhopal,NA,NA,23.572259,77.244293,N,455,824,0,23.572259,77.244293,NA,NA,1592,TRUE
Santarem_SONDA,NA,NA,-2.683611,-54.535,N,350,402,0,-2.683611,-54.535,NA,NA,1593,TRUE
Greyhills_Tuba_AZ,NA,NA,36.12704,-111.22123,N,506,221,0,36.12704,-111.22123,NA,NA,1594,TRUE
PCDS_HAZELGREEN_AL,NA,NA,34.89893,-86.556889,N,501,300,0,34.89893,-86.556889,NA,NA,1595,TRUE
ARM_KCG,NA,NA,-40.6804,144.6896,N,198,1040,0,-40.6804,144.6896,NA,NA,1596,TRUE
Fengshan,NA,NA,22.62964,120.34594,N,452,962,0,22.62964,120.34594,NA,NA,1597,TRUE
NUST_Islamabad,NA,NA,33.647866,72.989307,N,496,811,0,33.647866,72.989307,NA,NA,1598,TRUE
SRMIST_CHENNAI,NA,NA,12.821113,80.046432,N,412,833,0,12.821113,80.046432,NA,NA,1599,TRUE
Xavier_Univ_LA,NA,NA,29.9643,-90.1074,N,481,289,0,29.9643,-90.1074,NA,NA,1600,TRUE
Andenes_Harbour,NA,NA,69.316669,16.130556,N,638,629,0,69.316669,16.130556,NA,NA,1601,TRUE
Mt_Cimone,NA,NA,44.115827,10.420891,N,537,610,0,44.115827,10.420891,NA,NA,1602,TRUE
Perth-CSIRO_AU,NA,NA,-31.99361,115.885254,N,233,948,0,-31.99361,115.885254,NA,NA,1603,TRUE
Cabauw_profiling_NL,NA,NA,51.968,4.929,N,569,593,0,51.968,4.929,NA,NA,1604,TRUE
RotterdamSlufter_NL,NA,NA,51.933495,3.999843,N,569,590,0,51.933495,3.999843,NA,NA,1605,TRUE
NRL_CEOBS_MBAYCAUSA,NA,NA,36.905678,-121.840389,N,509,187,0,36.905678,-121.840389,NA,NA,1606,TRUE
Onsala_Chalmers,NA,NA,57.391938,11.918862,N,591,615,0,57.391938,11.918862,NA,NA,1607,TRUE
Zhengzhou,NA,NA,34.799167,113.803056,N,500,941,0,34.799167,113.803056,NA,NA,1608,TRUE
Garmisch_KIT,NA,NA,47.476388,11.063055,N,551,612,0,47.476388,11.063055,NA,NA,1609,TRUE
CNES_ASA,NA,NA,43.7,-0.266667,N,536,576,0,43.7,-0.266667,NA,NA,1610,TRUE
Cambridge_Bay,NA,NA,69.1213,-105.03941,N,637,241,0,69.1213,-105.03941,NA,NA,1611,TRUE
Stony_Plain,NA,NA,53.5293,-114.002,N,575,212,0,53.5293,-114.002,NA,NA,1612,TRUE
